AssignedID,AssignedTime,AssignedTo
8598,2026-06-04 14:03:11,USER01
8603,2026-06-04 17:28:31,USER01
8630,2026-08-04 09:56:59,USER01
8640,2026-08-04 14:58:15,USER01
8642,2026-08-04 15:44:40,USER01
8664,2026-10-04 08:13:31,USER01
8666,2026-10-04 09:55:31,USER01
8668,2026-10-04 10:02:40,USER01
8669,2026-10-04 11:05:06,USER01
8678,2026-10-04 15:51:22,USER01
8687,2026-11-04 11:58:41,USER01
8692,2026-11-04 13:17:07,USER01
8698,2026-11-04 18:12:27,USER01
8700,2026-11-04 18:15:50,USER01
8777,2026-04-18 10:05:27,USER01
8775,2026-04-18 15:44:31,USER01
