Checked,InvoiceID,LogDate,LogDateOnly,LogTime,New_Quantity,Old_Quantity,P_ID,Product_Cost,Product_Details,Product_Price,Sold_Quantity,StockLogID,StockType,Total_Cost,Total_Price,Total_Profit,Username,isReturned
True,45,2025-04-11 00:00:00,2025-04-11 00:00:00,1899-12-30 11:32:16,10,11,763,$3.50,Case iPhone 13 Pro,$10.00,1,1,Sale,0,0,0,roy,False
True,47,2025-04-11 00:00:00,2025-04-11 00:00:00,1899-12-30 12:02:38,1,2,851,$5.00,Wireless Mouse R545 - Black,$10.00,1,2,Sale,0,0,0,roy,False
True,60,2025-04-11 00:00:00,2025-04-11 00:00:00,1899-12-30 18:10:53,9,10,799,$3.50,Case iPhone 15 Pro Max,$10.00,1,3,Sale,0,0,0,ROY,False
True,61,2025-04-11 00:00:00,2025-04-11 00:00:00,1899-12-30 18:52:01,0,2,418,$66.00,PS5 DualSense Controller Original,$75.00,2,4,Sale,0,0,0,roy,False
True,65,2025-04-11 00:00:00,2025-04-11 00:00:00,1899-12-30 19:46:46,10,11,400,$1.50,Panasonic CR2032,$3.00,1,5,Sale,0,0,0,roy,False
True,67,2025-04-11 00:00:00,2025-04-11 00:00:00,1899-12-30 20:10:41,15,16,692,$1.50,Case iPhone 14 Pro Max,$7.00,1,6,Sale,0,0,0,roy,False
True,67,2025-04-11 00:00:00,2025-04-11 00:00:00,1899-12-30 20:10:41,0,1,847,$6.00,Mobile Tripod K17,$15.00,1,7,Sale,0,0,0,roy,False
True,70,2025-04-11 00:00:00,2025-04-11 00:00:00,1899-12-30 22:31:58,0,1,439,$10.00,Rolimat Musical Hammering & Pounding Bench,$18.00,1,8,Sale,0,0,0,roy,False
True,71,2025-04-11 00:00:00,2025-04-11 00:00:00,1899-12-30 22:46:02,8,10,848,$3.60,Sonny Angel Hippers,$10.00,2,9,Sale,0,0,0,roy,False
True,74,2025-04-12 00:00:00,2025-04-12 00:00:00,1899-12-30 10:07:17,1,2,680,$2.00,Case Samsung S20 FE,$5.00,1,10,Sale,0,0,0,roy,False
True,79,2025-04-12 00:00:00,2025-04-12 00:00:00,1899-12-30 10:50:42,0,1,298,$116.00,JBL Harman Charge 5,$128.00,1,11,Sale,0,0,0,roy,False
